site_id,lon,lat,D0,mean,quantile-0.05,quantile-0.16,quantile-0.5,quantile-0.84,quantile-0.95
1,13.188,42.749,1.0,1.7664227559773762e-08,6.1266857823803e-10,6.1266857823803e-10,6.1266857823803e-10,2.380278879312662e-08,3.1305474745002337e-08
1,13.188,42.749,1.5,6.156677566527132e-09,2.1487415429474667e-11,2.1487415429474667e-11,2.1487415429474667e-11,8.365346020922288e-09,1.1064829687405257e-08
1,13.188,42.749,2.0,2.6542005625049736e-09,0.0,0.0,0.0,3.6097127650067636e-09,4.777561012508952e-09
1,13.188,42.749,3.0,6.758950599426608e-10,0.0,0.0,0.0,9.192172815220186e-10,1.2166111078967893e-09
1,13.188,42.749,5.0,7.751585864982878e-11,0.0,0.0,0.0,1.0542156776376713e-10,1.395285455696918e-10
1,13.188,42.749,7.5,7.893713355032345e-12,0.0,0.0,0.0,1.0735450162843988e-11,1.420868403905822e-11
1,13.188,42.749,10.0,9.708426125565268e-13,0.0,0.0,0.0,1.3203459530768764e-12,1.7475167026017481e-12
2,13.212,42.853,0.0001,7.558959752637967e-06,4.8473270424668445e-06,4.8473270424668445e-06,4.8473270424668445e-06,8.535147528299571e-06,9.728265920774864e-06
2,13.212,42.853,0.001,7.533286287955984e-06,4.847231923083781e-06,4.847231923083781e-06,4.847231923083781e-06,8.500265859309976e-06,9.682129779853744e-06
2,13.212,42.853,0.005,7.385959829639493e-06,4.822320091492992e-06,4.822320091492992e-06,4.822320091492992e-06,8.308870135372232e-06,9.436871620156692e-06
2,13.212,42.853,0.01,7.2043756806580225e-06,4.696372698819808e-06,4.696372698819808e-06,4.696372698819808e-06,8.10725675411978e-06,9.210778066128594e-06
2,13.212,42.853,0.015,7.0085509324622805e-06,4.509519576777519e-06,4.509519576777519e-06,4.509519576777519e-06,7.908202220508794e-06,9.007776017010088e-06
2,13.212,42.853,0.03,6.385671464025972e-06,3.8536669121294845e-06,3.8536669121294845e-06,3.8536669121294845e-06,7.297193102708707e-06,8.411275105543162e-06
2,13.212,42.853,0.05,5.612471162850648e-06,3.073175641122542e-06,3.073175641122542e-06,3.073175641122542e-06,6.526617550672766e-06,7.643907580233133e-06
2,13.212,42.853,0.075,4.810648144341395e-06,2.3462752206522706e-06,2.3462752206522706e-06,2.3462752206522706e-06,5.6978223968694796e-06,6.782146483292695e-06
2,13.212,42.853,0.1,4.169232991806875e-06,1.8305131635374844e-06,1.8305131635374844e-06,1.8305131635374844e-06,5.011172129983855e-06,6.040208854422387e-06
2,13.212,42.853,0.15,3.225524210422975e-06,1.1801006684660477e-06,1.1801006684660477e-06,1.1801006684660477e-06,3.961876685527468e-06,4.861863043988516e-06
2,13.212,42.853,0.3,1.7472261191653626e-06,4.2573975343109377e-07,4.2573975343109377e-07,4.2573975343109377e-07,2.2229612108296995e-06,2.8044152117527777e-06
2,13.212,42.853,0.5,9.418887932071675e-07,1.5681570948829578e-07,1.5681570948829578e-07,1.5681570948829578e-07,1.2245151033459612e-06,1.5699472601822647e-06
2,13.212,42.853,0.75,5.12818146868641e-07,5.8673875484895e-08,5.8673875484895e-08,5.8673875484895e-08,6.763100845667896e-07,8.761335639756378e-07
2,13.212,42.853,1.0,3.101339668718007e-07,2.4835690665768712e-08,2.4835690665768712e-08,2.4835690665768712e-08,4.128413463059722e-07,5.383725878366263e-07
2,13.212,42.853,1.5,1.364195348773775e-07,4.627264128740123e-09,4.627264128740123e-09,4.627264128740123e-09,1.8386475234688698e-07,2.418533514762874e-07
2,13.212,42.853,2.0,6.986069657191513e-08,5.255999820304124e-10,5.255999820304124e-10,5.255999820304124e-10,9.482133134427363e-08,1.253287738438229e-07
2,13.212,42.853,3.0,2.379878869263204e-08,0.0,0.0,0.0,3.2366352621979575e-08,4.283781964673767e-08
2,13.212,42.853,5.0,4.482785944371996e-09,0.0,0.0,0.0,6.096588884345914e-09,8.069014699869592e-09
2,13.212,42.853,7.5,8.305719046878596e-10,0.0,0.0,0.0,1.129577790375489e-09,1.4950294284381472e-09
2,13.212,42.853,10.0,1.8883000156277693e-10,0.0,0.0,0.0,2.5680880212537663e-10,3.3989400281299847e-10
