# return_period = 100000.0
site_id,lon,lat,is_trace,displ_quantile-0.95
335,13.200000000000024,42.67500000000001,0,0.0
336,13.205000000000025,42.67500000000001,0,0.0
337,13.210000000000026,42.67500000000001,0,0.0
338,13.215000000000027,42.67500000000001,0,0.0
339,13.220000000000027,42.67500000000001,0,0.0
340,13.225000000000028,42.67500000000001,0,0.0
341,13.230000000000029,42.67500000000001,0,0.0
342,13.23500000000003,42.67500000000001,0,0.0
343,13.24000000000003,42.67500000000001,0,0.0
344,13.245000000000031,42.67500000000001,0,0.0
345,13.250000000000032,42.67500000000001,0,0.0
346,13.255000000000033,42.67500000000001,0,0.0
347,13.260000000000034,42.67500000000001,0,0.0
348,13.265000000000034,42.67500000000001,0,0.0
349,13.270000000000035,42.67500000000001,0,0.0
350,13.275000000000036,42.67500000000001,0,0.0
351,13.280000000000037,42.67500000000001,0,0.0
352,13.285000000000037,42.67500000000001,0,0.0
353,13.290000000000038,42.67500000000001,0,0.0
354,13.295000000000039,42.67500000000001,0,0.0
355,13.30000000000004,42.67500000000001,0,0.0
356,13.30500000000004,42.67500000000001,0,0.0
357,13.310000000000041,42.67500000000001,0,0.0
358,13.315000000000042,42.67500000000001,0,0.0
359,13.320000000000043,42.67500000000001,0,0.0
360,13.325000000000044,42.67500000000001,0,0.0
361,13.330000000000044,42.67500000000001,0,0.0
362,13.335000000000045,42.67500000000001,0,0.0
363,13.340000000000046,42.67500000000001,0,0.0
364,13.345000000000047,42.67500000000001,0,0.0
365,13.350000000000048,42.67500000000001,0,0.0
366,13.05,42.680000000000014,0,0.0
367,13.055000000000001,42.680000000000014,0,0.0
368,13.060000000000002,42.680000000000014,0,0.0
369,13.065000000000003,42.680000000000014,0,0.0
370,13.070000000000004,42.680000000000014,0,0.0
371,13.075000000000005,42.680000000000014,0,0.0
372,13.080000000000005,42.680000000000014,0,0.0
373,13.085000000000006,42.680000000000014,0,0.0
374,13.090000000000007,42.680000000000014,0,0.0
375,13.095000000000008,42.680000000000014,0,0.0
376,13.100000000000009,42.680000000000014,0,0.006480016268189482
377,13.10500000000001,42.680000000000014,0,0.013966625729508455
378,13.11000000000001,42.680000000000014,0,0.022139023457248434
379,13.11500000000001,42.680000000000014,0,0.03378707808368571
380,13.120000000000012,42.680000000000014,0,0.048244747358292844
381,13.125000000000012,42.680000000000014,0,0.06573470249908284
382,13.130000000000013,42.680000000000014,0,0.0895482835768801
383,13.135000000000014,42.680000000000014,0,0.11774094909014059
384,13.140000000000015,42.680000000000014,0,0.15377637485903017
385,13.145000000000016,42.680000000000014,0,0.19448727582037748
386,13.150000000000016,42.680000000000014,0,0.2507265904908816
387,13.155000000000017,42.680000000000014,0,0.32374302433022456
388,13.160000000000018,42.680000000000014,0,0.4109586389196425
389,13.165000000000019,42.680000000000014,0,0.11718278079872706
390,13.17000000000002,42.680000000000014,0,0.07319053541466
391,13.17500000000002,42.680000000000014,0,0.04858392646557297
392,13.180000000000021,42.680000000000014,0,0.031132165525459932
393,13.185000000000022,42.680000000000014,0,0.018357822227919905
394,13.190000000000023,42.680000000000014,0,0.010116260581700448
395,13.195000000000023,42.680000000000014,0,0.0030302062047163603
396,13.200000000000024,42.680000000000014,0,0.0
397,13.205000000000025,42.680000000000014,0,0.0
398,13.210000000000026,42.680000000000014,0,0.0
399,13.215000000000027,42.680000000000014,0,0.0
400,13.220000000000027,42.680000000000014,0,0.0
401,13.225000000000028,42.680000000000014,0,0.0
402,13.230000000000029,42.680000000000014,0,0.0
403,13.23500000000003,42.680000000000014,0,0.0
404,13.24000000000003,42.680000000000014,0,0.0
405,13.245000000000031,42.680000000000014,0,0.0
406,13.250000000000032,42.680000000000014,0,0.0
407,13.255000000000033,42.680000000000014,0,0.0
408,13.260000000000034,42.680000000000014,0,0.0
409,13.265000000000034,42.680000000000014,0,0.0
410,13.270000000000035,42.680000000000014,0,0.0
411,13.275000000000036,42.680000000000014,0,0.0
412,13.280000000000037,42.680000000000014,0,0.0
413,13.285000000000037,42.680000000000014,0,0.0
414,13.290000000000038,42.680000000000014,0,0.0
415,13.295000000000039,42.680000000000014,0,0.0
416,13.30000000000004,42.680000000000014,0,0.0
417,13.30500000000004,42.680000000000014,0,0.0
418,13.310000000000041,42.680000000000014,0,0.0
419,13.315000000000042,42.680000000000014,0,0.0
420,13.320000000000043,42.680000000000014,0,0.0
421,13.325000000000044,42.680000000000014,0,0.0
422,13.330000000000044,42.680000000000014,0,0.0
423,13.335000000000045,42.680000000000014,0,0.0
424,13.340000000000046,42.680000000000014,0,0.0
425,13.345000000000047,42.680000000000014,0,0.0
426,13.350000000000048,42.680000000000014,0,0.0
427,13.05,42.68500000000002,0,0.0
428,13.055000000000001,42.68500000000002,0,0.0
429,13.060000000000002,42.68500000000002,0,0.0
430,13.065000000000003,42.68500000000002,0,0.0
431,13.070000000000004,42.68500000000002,0,0.0
432,13.075000000000005,42.68500000000002,0,0.0
433,13.080000000000005,42.68500000000002,0,0.0
434,13.085000000000006,42.68500000000002,0,0.0
435,13.090000000000007,42.68500000000002,0,0.0
436,13.095000000000008,42.68500000000002,0,0.0
